,weight,source,target
0,4,living,room
1,4,living,watch
2,4,living,older
3,4,living,familiar
4,4,living,enhancing
5,4,living,everywhere
6,4,room,watch
7,4,room,older
8,4,room,familiar
9,4,room,enhancing
10,4,room,everywhere
11,4,way,moving
12,4,way,suit
13,4,way,generations
14,4,way,showcased
15,4,way,watching
16,4,people,moving
17,4,people,way
18,4,people,suit
19,4,people,generations
20,4,people,showcased
21,4,people,watching
22,3,technologies,google
23,3,technologies,engine
24,3,impact,google
25,3,impact,engine
26,3,book,new
27,3,book,one
28,3,search,new
29,3,search,one
30,4,recognised,room
31,4,recognised,watch
32,4,recognised,older
33,4,recognised,familiar
34,4,recognised,enhancing
35,4,recognised,everywhere
36,4,older,room
37,4,older,watch
38,4,older,familiar
39,4,older,enhancing
40,4,older,everywhere
41,4,generations,moving
42,4,generations,way
43,4,generations,suit
44,4,generations,showcased
45,4,generations,watching
46,4,comfortable,moving
47,4,comfortable,way
48,4,comfortable,suit
49,4,comfortable,generations
50,4,comfortable,showcased
51,4,comfortable,watching
52,4,many,room
53,4,many,watch
54,4,many,older
55,4,many,familiar
56,4,many,enhancing
57,4,many,everywhere
58,4,enhancing,room
59,4,enhancing,watch
60,4,enhancing,older
61,4,enhancing,familiar
62,4,enhancing,everywhere
63,4,watching,moving
64,4,watching,way
65,4,watching,suit
66,4,watching,generations
67,4,watching,showcased
68,4,experience,moving
69,4,experience,way
70,4,experience,suit
71,4,experience,generations
72,4,experience,showcased
73,4,experience,watching
